Title,Subtitle,Location,Price per night,Discounted price per night,Price per week,Stars,Number Traveler,Number Room,Number Bed,Number Bathroom,Equipment,url,latitude,longitude,jours reserves,periode reservation,City,Number annonce,euros,type_logement,Test_Equipment
Charmant studio a 2mn a pied de la plage,"Logement entier : appartement - Chatelaillon-Plage, France","Chatelaillon-Plage, Nouvelle-Aquitaine, France",58 EUR ,,499 EUR,,2 voyageurs ,1 chambre, 1 lit , 1 salle de bain,"['Acces plage ou bord de mer', 'Cuisine', 'Wifi', 'Parking gratuit dans la rue', 'Animaux acceptes', 'TV avec abonnement standard au cable', 'Depot de bagages autorise', 'Lit parapluie', 'Livres et jouets pour enfants']",https://www.airbnb.fr/rooms/26102364?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1699864955_uqdD8HZQgr6d7RV7&previous_page_section_name=1000&federated_search_id=fc8e800c-89d5-4e0b-bd02-6c761b49de25,46.0726,-1.0911,8,01/06/2024 - 30/09/2024,Chatelaillon-Plage,26102364,58,appartement,"'acces plage ou bord de mer', 'cuisine', 'wifi', 'parking gratuit dans la rue', 'animaux acceptes', 'tv avec abonnement standard au cable', 'depot de bagages autorise', 'lit parapluie', 'livres et jouets pour enfants'"
Chatelaillon-plage : Petite maison meublee 2 pers.,"Logement entier : logement - Chatelaillon-Plage, France","Chatelaillon-Plage, Nouvelle-Aquitaine, France",79 EUR,71 EUR ,609 EUR,,2 voyageurs ,1 chambre, 1 lit , 1 salle de bain,"['Cuisine', 'Wifi', 'Parking gratuit dans la rue', 'Television', 'Lave-linge', 'Climatisation centrale', 'Patio ou balcon\xa0: prive(e)', 'Seche-cheveux', 'Four a micro-ondes']",https://www.airbnb.fr/rooms/947088692801789682?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1699867193_6avX1jSWv5%2FRq6SJ&previous_page_section_name=1000&federated_search_id=d4821ba6-eb17-4ed7-af73-7ba222487036,46.0742,-1.0812,35,01/06/2024 - 30/09/2024,Chatelaillon-Plage,947088692801789682,79,maison,"'cuisine', 'wifi', 'parking gratuit dans la rue', 'television', 'lave-linge', 'climatisation centrale', 'patio ou balcon\xa0: prive(e)', 'seche-cheveux', 'four a micro-ondes'"
Votre CHEZ VOUS cozy a deux pas de la mer ...,"Logement entier : logement de vacances - Chatelaillon-Plage, France","Chatelaillon-Plage, Nouvelle-Aquitaine, France",95 EUR ,,834 EUR,,2 voyageurs ,1 chambre, 1 lit , 1 salle de bain,"['Vue sur le jardin', 'Acces plage\xa0: Public ou partage', 'Cuisine', 'Wifi rapide (426\xa0Mbit/s)', 'Espace de travail dedie', 'Parking gratuit sur place', 'Animaux acceptes', 'Television', 'Lave-linge (Gratuit) dans le logement', 'Seche-linge (Gratuit) dans le logement']",https://www.airbnb.fr/rooms/592695376972453315?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1699867193_i91Y%2BW6vEE0ztRZh&previous_page_section_name=1000&federated_search_id=d4821ba6-eb17-4ed7-af73-7ba222487036,46.07926,-1.0859,0,01/06/2024 - 30/09/2024,Chatelaillon-Plage,592695376972453315,95,logement de vacances,"'vue sur le jardin', 'acces plage\xa0: public ou partage', 'cuisine', 'wifi rapide (426\xa0mbit/s)', 'espace de travail dedie', 'parking gratuit sur place', 'animaux acceptes', 'television', 'lave-linge (gratuit) dans le logement', 'seche-linge (gratuit) dans le logement'"
Studio & patio - 2 pers - Village bord de mer,"Logement entier : suite - Angoulins, France","Angoulins, Nouvelle-Aquitaine, France",84 EUR ,,727 EUR,,2 voyageurs ,1 chambre, 1 lit , 1 salle de bain,"['Cuisine', 'Wifi', 'Espace de travail dedie', 'Parking gratuit sur place', 'TV HD avec Amazon Prime Video, Netflix', 'Climatisation', 'Patio ou balcon\xa0: prive(e)', 'Arriere-cour', 'Lit parapluie\xa0: disponible sur demande']",https://www.airbnb.fr/rooms/49093466?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1699867495_f%2Bcb6yMFQLqd%2BnTo&previous_page_section_name=1000&federated_search_id=d67d466a-9fa2-4e2c-aa61-38dde68d59e6,46.1027,-1.1113,52,01/06/2024 - 30/09/2024,Angoulins,49093466,84,suite,"'cuisine', 'wifi', 'espace de travail dedie', 'parking gratuit sur place', 'tv hd avec amazon prime video, netflix', 'climatisation', 'patio ou balcon\xa0: prive(e)', 'arriere-cour', 'lit parapluie\xa0: disponible sur demande'"
Proche plage-terrasse-Chatelaillon,"Logement entier : logement - Chatelaillon-Plage, France","Chatelaillon-Plage, Nouvelle-Aquitaine, France",45 EUR ,,385 EUR,,2 voyageurs ,1 chambre, 1 lit , 1 salle de bain,"['Vue sur la cour', 'Acces plage ou bord de mer\xa0: Public ou partage', 'Cuisine', 'Espace de travail dedie', 'Allee de stationnement gratuite sur place\xa0: 1\xa0place', 'Animaux acceptes', 'TV HD 80""', 'Patio ou balcon\xa0: prive(e)', 'Seche-cheveux', 'Refrigerateur']",https://www.airbnb.fr/rooms/46542904?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1699867495_K7dT%2FEjzEJ8m3y1u&previous_page_section_name=1000&federated_search_id=d67d466a-9fa2-4e2c-aa61-38dde68d59e6,46.08133,-1.08152,28,01/06/2024 - 30/09/2024,Chatelaillon-Plage,46542904,45,logement,"'vue sur la cour', 'acces plage ou bord de mer\xa0: public ou partage', 'cuisine', 'espace de travail dedie', 'allee de stationnement gratuite sur place\xa0: 1\xa0place', 'animaux acceptes', 'tv hd 80""', 'patio ou balcon\xa0: prive(e)', 'seche-cheveux', 'refrigerateur'"
Maison Jacuzzi wifi terrasse,"Logement entier : logement - Chatelaillon-Plage, France","Chatelaillon-Plage, Nouvelle-Aquitaine, France",140 EUR ,,1 179 EUR,,2 voyageurs ,1 chambre, 1 lit , 1 salle de bain,"['Vue sur la cour', 'Vue sur le jardin', 'Acces plage ou bord de mer\xa0: Public ou partage', 'Cuisine', 'Wifi rapide (153\xa0Mbit/s)', 'Espace de travail dedie', 'Allee de stationnement gratuite sur place\xa0: 1\xa0place', ""Jacuzzi prive\xa0: disponible toute l'annee, ouverture 24h/24"", 'Animaux acceptes']",https://www.airbnb.fr/rooms/912292078685242702?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1699867495_u%2FjQofbXkN4jaEyj&previous_page_section_name=1000&federated_search_id=d67d466a-9fa2-4e2c-aa61-38dde68d59e6,46.07599822944078,-1.08566083006349,26,01/06/2024 - 30/09/2024,Chatelaillon-Plage,912292078685242702,140,maison,"'vue sur la cour', 'vue sur le jardin', 'acces plage ou bord de mer\xa0: public ou partage', 'cuisine', 'wifi rapide (153\xa0mbit/s)', 'espace de travail dedie', 'allee de stationnement gratuite sur place\xa0: 1\xa0place', ""jacuzzi prive\xa0: disponible toute l'annee, ouverture 24h/24"", 'animaux acceptes'"
"Appartement Chatelaillon-Plage, 2 pieces, 2 pers.","Logement entier : appartement - Chatelaillon-Plage, France","Chatelaillon-Plage, Nouvelle-Aquitaine, France",84 EUR ,,592 EUR,,2 voyageurs ,1 chambre, 1 lit , 1 salle de bain,"['Cuisine', 'Animaux acceptes', 'Television', 'Ascenseur', 'Lave-linge', 'Patio ou balcon\xa0: prive(e)', 'Refrigerateur']",https://www.airbnb.fr/rooms/44395921?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1699867495_8rPE%2Fn7%2BNiZDuNFE&previous_page_section_name=1000&federated_search_id=d67d466a-9fa2-4e2c-aa61-38dde68d59e6,46.0643,-1.0917,0,01/06/2024 - 30/09/2024,Chatelaillon-Plage,44395921,84,appartement,"'cuisine', 'animaux acceptes', 'television', 'ascenseur', 'lave-linge', 'patio ou balcon\xa0: prive(e)', 'refrigerateur'"
"Appartement tout confort, idealement situe.","Logement entier : logement de vacances - Chatelaillon-Plage, France","Chatelaillon-Plage, Nouvelle-Aquitaine, France",90 EUR,81 EUR ,729 EUR,,4 voyageurs ,1 chambre, 3 lits , 1 salle de bain,"['Vue panoramique sur la ville', 'Cuisine', 'Wifi', 'Parking gratuit sur place', 'Television', 'Ascenseur', 'Lave-linge (Gratuit) dans le logement', 'Refrigerateur', 'Four a micro-ondes']",https://www.airbnb.fr/rooms/622254460814670001?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1699867495_l4Pmt36rykDD%2BN%2B7&previous_page_section_name=1000&federated_search_id=d67d466a-9fa2-4e2c-aa61-38dde68d59e6,46.07707,-1.08742,0,01/06/2024 - 30/09/2024,Chatelaillon-Plage,622254460814670001,90,appartement,"'vue panoramique sur la ville', 'cuisine', 'wifi', 'parking gratuit sur place', 'television', 'ascenseur', 'lave-linge (gratuit) dans le logement', 'refrigerateur', 'four a micro-ondes'"
"Appart  ""Madame"" - 2 pers.","Logement entier : appartement en residence - Chatelaillon-Plage, France","Chatelaillon-Plage, Nouvelle-Aquitaine, France",90 EUR ,,793 EUR,,2 voyageurs ,1 chambre, 2 lits , 1 salle de bain,"['Cuisine', 'Wifi', 'Espace de travail dedie', 'Parking gratuit sur place', 'Piscine', 'Television', 'Lave-linge', 'Patio ou balcon', 'Arriere-cour']",https://www.airbnb.fr/rooms/39106452?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1699867495_AcsevSdVtk4OH3EY&previous_page_section_name=1000&federated_search_id=d67d466a-9fa2-4e2c-aa61-38dde68d59e6,46.07374,-1.0883,0,01/06/2024 - 30/09/2024,Chatelaillon-Plage,39106452,90,appartement,"'cuisine', 'wifi', 'espace de travail dedie', 'parking gratuit sur place', 'piscine', 'television', 'lave-linge', 'patio ou balcon', 'arriere-cour'"
Studio Ocean,"Logement entier : appartement - Chatelaillon-Plage, France","Chatelaillon-Plage, Nouvelle-Aquitaine, France",110 EUR ,,803 EUR,,2 voyageurs ,1 chambre, 1 lit , 1 salle de bain,"['Vue sur la mer', 'Acces a la plage', 'Cuisine', 'Wifi', 'Animaux acceptes', 'Television', 'Depot de bagages autorise', 'Lit pour bebe', 'Lit parapluie', 'Livres et jouets pour enfants']",https://www.airbnb.fr/rooms/816008183880121932?check_in=2024-07-06&check_out=2024-07-13&source_impression_id=p3_1699867495_u15PcOTyfaf0lS4Y&previous_page_section_name=1000&federated_search_id=d67d466a-9fa2-4e2c-aa61-38dde68d59e6,46.07374,-1.09244,29,01/06/2024 - 30/09/2024,Chatelaillon-Plage,816008183880121932,110,appartement,"'vue sur la mer', 'acces a la plage', 'cuisine', 'wifi', 'animaux acceptes', 'television', 'depot de bagages autorise', 'lit pour bebe', 'lit parapluie', 'livres et jouets pour enfants'"
